exercise_id,title,rutube_link
foundation_face_1,"Массаж и простукивание жевательных мышц",https://rutube.ru/video/private/e09da1009c9650ffb889d13a3a496cec/?r=wd&p=4v_MUy9y7nQhbf_xRA9Qxg
foundation_face_2,"Пальпация комков (снятие триггеров)",https://rutube.ru/video/private/67b689bf8f7865d00e0b116416581540/?r=wd&p=ouklcmqpdAM9PTqohnkIUQ
foundation_face_3,"Клацанье челюстью (проверка)",https://rutube.ru/video/private/65815db6903a46179f629d62fe0fc891/?r=wd&p=8QoW9OEz_AnUCGdszwdNLw
foundation_face_4,"«Трубочка — Улыбка»",https://rutube.ru/video/private/825b74f7d0dd70ca66b86d0acbe6b53a/?r=wd&p=9khS8OX7BJAl7OPKkgFGLA
foundation_face_5,"«Корова» (Круговое жевание)",https://rutube.ru/video/private/81b523d0b0e455e2d146a2cf0aacd900/?r=wd&p=9KsO_pZRYjB8RaVkt5AYaQ
foundation_face_6,"«Мотоцикл» (Вибрация губами)",https://rutube.ru/video/private/2ee84e63a8146c710b782176ca4a3329/?r=wd&p=WkmwOEZQTITqGmQE0gV--A
foundation_face_7,"Натяжение губ на зубы",https://rutube.ru/video/private/0aea5a05cf71ca3beb6e5a6537da8a09/?p=MC7HPmpPHGiWXrmyXEe3Zg
foundation_face_8,"Боковое смещение губ",https://rutube.ru/video/private/bec80adc391413182f9a5f03db090810/?p=mUuJGSNfzZKN6-90Gh2TTA
foundation_face_9,"Раскоординация губ",https://rutube.ru/video/private/5c5169f451bdb496b27090238f1ca68f/?p=96gFsbRDrtBNwHlJ3N4UTQ
foundation_face_10,"Поднятие щек с натянутой губой",https://rutube.ru/video/private/18d801bd9868f71a9bf39d69612b109d/?p=rGhHHUHz54xV-s63iLIagg
foundation_face_11,"«Удивленные брови»",https://rutube.ru/video/private/80f924dfb775409d7188f9847423584b/?r=wd&p=On6e9G3PrMfLNY_f6SSyqg
foundation_face_12,"Проработка мышц вокруг глаз",https://rutube.ru/video/private/d34f430fa3945041ea029ef938431a6d/?p=96xOUmHnJrx0Rfo0NJUYfQ
foundation_face_13,"«Сердитые брови»",https://rutube.ru/video/private/51565b0c7d553a7da5da22768b8555b2/?r=wd&p=TIjeE-S1YW7U2yWrJ37J2g
foundation_face_14,"«Оскал хищника»",https://rutube.ru/video/private/8ced866ba4e537a0c7587735d07a65a7/?r=wd&p=hiVNI3SDAvPJo_ttfDaydw
foundation_face_15,"«Маска на удержание»",https://rutube.ru/video/private/4b110fec62eaf94c985d85bed3743cdb/?p=py4ZEg_YNvMc43Lw_giFqw
foundation_face_16,"Координация «Оскал-Щеки-Расслабление»",https://rutube.ru/video/private/e6e7effdc666ce610f3c39c3df90bf2e/?p=SW3y1Y07kf5v2k-C6pHGkA
foundation_ligaments_1,"Штробас (как индикатор расслабления)",https://rutube.ru/video/private/dd023bee8cf71c67d4fc161f069d00a3/?p=eK3vTFFIJFmyLcvgGnmo1w
foundation_ligaments_2,"Вибрато (через тряску тела)",https://rutube.ru/video/private/5fb5fd32680109c71934e5b31b40abf4/?p=_41q3ZQ8dnW128-0aNaNHw
foundation_neck_1,"Прокачка дельт (укрепление задней поверхности шеи)",https://rutube.ru/video/private/4614e4b3677e5e5de91263a1f8ff36f5/?p=8payowGuJg73YprGwy3Byg
foundation_neck_2,"Прокачка дельт в статическом растяжении",https://rutube.ru/video/private/e58a89df069c6e3d76a03a82dc6e6633/?p=EAA0eeIrdxZwfGoW-fmwEw
foundation_neck_3,"Круговые движения головой",https://rutube.ru/video/private/e915b07662bae545043e29edce54a7ca/?p=WHmNFPk59z10IfpE4x0wUw
foundation_neck_4,"Повороты головы вправо-влево",https://rutube.ru/video/private/5455b1d5a64c4ac3d1342e930b891dbd/?p=QVqHrR0TniJzeLps6EdpNA
foundation_neck_5,"Массаж и простукивание трапеций",https://rutube.ru/video/private/697a3d1138ec8f2d963c5cf6325120be/?p=oFTZZ3ZU9FZQE9CJjh2Fng
foundation_neck_6,"Гимнастика для плеч и лопаток",https://rutube.ru/video/private/6eb1ddbeed4c6c6dbb5479da99209d4b/?p=7EwEyhuRF-8iCMFRZbR1rw
foundation_neck_7,"Растяжка шеи и подбородка",https://rutube.ru/video/private/1f3ded771763093666144999f3aeca50/?p=rfZPMt32jfEa7ajg3jwv2Q
foundation_neck_8,"Растяжка с губами («Поцелуй потолка»)",https://rutube.ru/video/private/2f37844cdf7230389f53a2953cebb469/?p=koTR_XwFUb9Le4jt1a2dkg
foundation_neck_9,"Самомассаж платизмы",https://rutube.ru/video/private/fab4b80ff033df68b034ae6dd9321f79/?p=pMDedqRYQibwOqFx9hU_TA
track_relax_breathing_1,"Комплекс «Снятие паники перед событием»",
foundation_tongue_1,"Покусывание языка",https://rutube.ru/video/private/2848e4b9b2b2a541ce6f39b218dc2e8d/?p=TlpX6fJeTVu9sdycJTBGJw
foundation_tongue_2,"Вращение языка",https://rutube.ru/video/private/bd7245167d0596cbae5d10204c8aef3d/?p=TzrU6saUJqzFQT5w9_I1Vw
foundation_tongue_3,"Массаж корня языка",https://rutube.ru/video/private/04f779f2c8c73c6744f817cf6327d159/?p=3jxHmwYojy89pzqrd1toQA
foundation_tongue_4,"Растяжение языка («Лопаточка» и «Иголочка»)",https://rutube.ru/video/private/d9dbdf44406e56bb3d6ba17f4421aa0a/?p=BtjBIbuy2y85F0VpWdQggg
foundation_tongue_5,"Язык и дыхание («Собачка»)",https://rutube.ru/video/private/44db43d7d7597fd9823402a7b54d3c6f/?p=t5Pd2msuMgbw9_HvcTLxcA
foundation_tongue_6,"Клацанье корнем языка",https://rutube.ru/video/private/845e5a423889c650e3fb59b3b98c988b/?p=Pv1utkqRUQTk5sAtmkgbAA
track_relax_face_neck_1,"Точечный массаж ключично-сосцевидных мышц",https://rutube.ru/video/private/99bb608d9ff61869dfcc6645260ba792/?p=ysCsJ0aYlsmhDMnw_zh6og
track_relax_face_neck_2,"Массаж подскульных комков",https://rutube.ru/video/private/5a464102c8bf0a11c731de2a69bd1003/?p=FtafGuRKQJK_aeDYsr5P8w
track_relax_face_neck_3,"Выдвижение челюсти с пробкой (горизонтально)",https://rutube.ru/video/private/3722b8996e97f017ef1c57b60f20f849/?p=4lim56cWdDoBngLclShFRA
track_relax_face_neck_4,"Выдвижение челюсти с палочкой",https://rutube.ru/video/private/644ab04e6290dc106d63d8f7e0336fae/?p=4jcjsZnx4iSDGIUXiCNTvg
track_relax_face_neck_5,"Проминание с выдвинутой челюстью",https://rutube.ru/video/private/65a9939b578b5bbb8584832def6f1e49/?p=RbbgcQj3EFd1WffMyvVkTQ
track_relax_face_neck_6,"Массаж в зевке",https://rutube.ru/video/private/2d912a5b2243dc182da6c3b4c833e335/?p=EX2c2G_zAg9qt7yeaPdavg
track_relax_timbre_1,"Реабилитация низких нот",https://rutube.ru/video/private/88ba780d21c89edd7debae5be32db428/?p=gQH3cfW7LB7k5BWVYn28-Q
track_relax_timbre_2,"Эксперимент с утренним голосом",
track_relax_tongue_1,"Массаж языка с марлей",https://rutube.ru/video/private/49581b5eacf60a1693b20e46a55a58aa/?p=E2CeKxO9T2eJsKLEG3i7gA
track_relax_tongue_2,"Пассивное удержание с ложкой/шпателем",https://rutube.ru/video/private/341e15688a84fdd53de58e3cc2ad82f1/?p=M6-NY5dpRopjaiO95c6kxw
track_speech_register_1,"Реабилитация низких нот (мычание с выдвинутой челюстью)",
track_speech_register_2,"Поиск середины голоса («А?»)",
track_speech_register_3,"Фразы на разные регистры",
track_speech_register_4,"Практика «Голоса уверенности»",
track_speech_register_5,"Практика «Бычьего тембра»",
track_speech_register_6,"Речь на разных уровнях тона и эмоций",https://rutube.ru/video/private/32702441c045bb4fcfd334a35a8cd0e1/?p=apPhaqABIf-ETJeAKyQaRQ
track_speech_support_1,"Короткие вдохи с шипящими (нарастание вдоха и выдоха)",https://rutube.ru/video/private/9266652469341358fc0a133c13be6eca/?p=1C1Fl3QYAXoJ0ArdfNUQSQ
track_speech_support_2,"Короткий вдох и надувание шарика",https://rutube.ru/video/private/10e25fa38b7b0727d9030286b85fc1f7/?p=x3PL-Z4ni_TYLTKNhLiYlQ
track_speech_support_3,"Дыхание в планке",https://rutube.ru/video/private/b86cf5e9479aed2c18ed457a0e584e89/?p=WkRiVNPYN9xxb3Vx5FESzg
